model,cv_balanced_acc_mean,cv_balanced_acc_std,best_params
RandomForest,0.765543277493352,0.011053225703397788,"{'model__n_estimators': 600, 'model__min_samples_leaf': 5, 'model__max_features': 'log2', 'model__max_depth': None}"
CatBoost,0.7255432436864035,0.015263071474089932,"{'model__depth': 6, 'model__learning_rate': 0.02, 'model__l2_leaf_reg': 5.0, 'model__iterations': 1200}"
XGBoost,0.7203508911910335,0.009479868304152992,"{'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__min_child_weight': 1, 'model__max_depth': 6, 'model__learning_rate': 0.03, 'model__colsample_bytree': 1.0}"
LightGBM,0.7193648416227016,0.010686732594499593,"{'model__subsample': 0.85, 'model__reg_lambda': 1.0, 'model__num_leaves': 15, 'model__min_child_samples': 10, 'model__max_depth': 6, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.85}"
LogReg,0.6421807338895487,0.00587001919698332,"{'model__penalty': 'l2', 'model__C': np.float64(23.71373705661655)}"
LinearSVC,0.6391051192357032,0.006945158223768838,{'model__C': np.float64(14.677992676220706)}
